district,code1,code2,description,lon,lat,other
鹿城,26488,10900,高层居民区,120.69151,28.00086,
瓯海,22657,10616,村庄,120.57449,27.98966,90
鹿城,26805,10650,商业中心,120.657602,28.012423,
鹿城,22660,10505,工业园区,120.587363,28.077531,0
瓯海,22656,10540,高层居民区,120.687401,27.978701,
瓯海,22745,10434,城中村,120.66708,27.980001,80
鹿城,22741,10471,低层居民区,120.664833,28.00854,360
鹿城,26805,10361,低层居民区,120.65083,28.01417,340
鹿城,26493,10362,企事业单位,120.680372,27.996181,350
鹿城,22659,10651,普铁,120.44514,28.13844,300
鹿城,22643,10685,低层居民区,120.644374,27.996306,100
鹿城,26489,10541,低层居民区,120.70299,28.00525,0
龙湾,22524,10575,低层居民区,120.75682,27.83327,100
瓯海,22399,10397,村庄,120.55924,27.980601,100
鹿城,22642,10686,城区道路,120.663888,28.021943,360
瓯海,26739,10722,乡镇,120.53457,27.98721,155
瓯海,22737,10576,村庄,120.55856,27.94947,100
鹿城,26804,10613,低层居民区,120.64463,28.00652,145
瓯海,22494,10472,乡镇,120.60263,27.97251,100
鹿城,26489,10508,城区道路,120.699101,28.006221,360
瓯海,26807,10398,国道省道,120.66784,27.93483,275
鹿城,26487,10435,低层居民区,120.67522,27.99753,0
龙湾,26490,10723,近水近海域,120.82859,27.95539,0
鹿城,26738,10757,村庄,120.74361,28.01765,40
瓯海,22737,10614,高速公路,120.59211,27.97599,130
鹿城,22643,10648,低层居民区,120.65649,27.99852,0
鹿城,26805,10509,写字楼,120.65251,28.01758,
鹿城,26488,10510,医院,120.69129,28.00211,
鹿城,26804,10619,企事业单位,120.646389,27.999704,
鹿城,26805,10620,商业中心,120.65699,28.00961,
鹿城,22523,10759,高层居民区,120.64719,28.01724,
鹿城,22741,10760,商业中心,120.661698,28.007139,
鹿城,22643,10791,工业园区,120.644683,27.98975,175
鹿城,26488,10649,党政军机关,120.695118,27.999041,
龙湾,22394,10683,城区道路,120.803601,27.87937,20
鹿城,26489,10545,低层居民区,120.703001,28.005301,50
瓯海,22646,10546,高校,120.698001,27.928001,100
瓯海,22745,10436,城中村,120.66708,27.980001,80
鹿城,22660,10473,工业园区,120.58958,28.07993,10
鹿城,22523,10792,低层居民区,120.647001,28.021701,45
鹿城,22523,10827,广场公园,120.634801,28.024241,310
瓯海,26751,10684,高校,120.692301,27.92446,135
鹿城,26487,10720,商业中心,120.679142,28.000875,0
龙湾,26611,10579,工业园区,120.82258,27.87577,
鹿城,26805,10580,医院,120.649988,28.015241,
龙湾,22521,10548,城区道路,120.719629,27.991296,0
龙湾,26738,10581,党政军机关,120.750901,27.97597,60
鹿城,22523,10828,集贸市场,120.63005,28.01585,100
鹿城,22660,10864,国道省道,120.58443,28.101401,35
龙湾,22390,10721,城区道路,120.74717,27.97707,0
鹿城,22642,10755,企事业单位,120.66252,28.01522,110
鹿城,26487,10617,低层居民区,120.67458,27.99923,20
鹿城,26620,10618,低层居民区,120.672952,28.014374,70
龙湾,26490,10654,乡镇,120.89261,27.95919,315
鹿城,26623,10655,低层居民区,120.58485,28.06605,100
瓯海,26810,10865,乡镇,120.646901,27.94933,100
鹿城,26805,10889,休闲娱乐场所,120.652982,28.005627,
龙湾,26738,10756,村庄,120.74133,27.96548,20
鹿城,22664,10789,企事业单位,120.67851,27.985001,
鹿城,22490,10652,工业园区,120.576055,28.023333,80
鹿城,26488,10653,低层居民区,120.710532,28.002192,130
龙湾,26611,10474,高层居民区,120.80506,27.86954,20
瓯海,26806,10511,工业园区,120.651956,27.955886,110
鹿城,22390,10890,高层居民区,120.72121,28.00178,
瓯海,26751,10358,工业园区,120.67387,27.92383,150
鹿城,22397,10359,休闲娱乐场所,120.65834,28.01428,
鹿城,26493,10687,低层居民区,120.675302,27.991909,90
鹿城,22490,10688,工业园区,120.575538,28.024786,100
鹿城,22659,10582,工业园区,120.54809,28.09082,0
鹿城,26804,10583,高层居民区,120.64853,28.00743,75
鹿城,26488,10360,写字楼,120.69967,28.00179,
鹿城,22523,10395,低层居民区,120.64691,28.02613,255
瓯海,22664,10790,高层居民区,120.677436,27.981479,
瓯海,22745,10825,中小学,120.63464,27.99103,75
龙湾,22390,10724,工业园区,120.733959,27.984676,300
龙湾,22390,10725,城区道路,120.74717,27.97707,50
鹿城,26488,10689,写字楼,120.691301,28.003391,
鹿城,26805,10690,高层居民区,120.65039,28.01374,
鹿城,22647,10396,工业园区,120.60801,28.02242,120
龙湾,26616,10433,低层居民区,120.82208,27.921557,110
龙湾,26616,10826,城区道路,120.823666,27.918388,20
鹿城,22656,10761,低层居民区,120.696428,27.984629,290
鹿城,22647,10762,工业园区,120.604862,28.025296,90
瓯海,26807,10512,乡镇,120.68317,27.94366,100
鹿城,22521,10547,体育场馆,120.695982,27.992003,145
鹿城,22654,10354,低层居民区,120.659097,28.026509,210
鹿城,26620,10862,低层居民区,120.68572,28.01497,210
鹿城,26804,10863,商业中心,120.64581,28.01137,70
瓯海,26739,10793,工业园区,120.54496,27.98891,30
瓯海,22646,10794,高校,120.698135,27.92801,335
鹿城,26485,10470,高校,120.67879,28.00941,
龙湾,22390,10506,工业园区,120.72843,27.97486,330
鹿城,22523,10355,城区道路,120.65209,28.01999,0
鹿城,22523,10391,低层居民区,120.64691,28.02613,120
瓯海,26617,10887,村庄,120.73494,27.92371,170
鹿城,26620,10888,城中村,120.672222,28.01818,100
瓯海,22739,10507,村庄,120.47392,28.01672,240
鹿城,22642,10542,医院,120.665543,28.012752,360
瓯海,22737,10392,村庄,120.581001,27.942201,90
鹿城,26805,10429,写字楼,120.65806,28.01677,
瓯海,22658,10356,工业园区,120.62724,27.97231,60
龙湾,26610,10357,机场,120.849001,27.91958,360
鹿城,26488,10829,党政军机关,120.683301,28.003501,
鹿城,22642,10830,写字楼,120.662301,28.020071,
瓯海,22658,10544,工业园区,120.61785,27.98362,55
瓯海,22739,10577,村庄,120.45579,27.96439,190
鹿城,26805,10430,商业中心,120.649993,28.010363,
鹿城,22490,10465,工业园区,120.576055,28.023333,120
龙湾,22524,10393,城区道路,120.75172,27.84096,170
龙湾,22390,10394,工业园区,120.72673,27.97773,360
瓯海,22745,10866,集贸市场,120.63754,27.98603,30
瓯海,26810,10867,工业园区,120.622701,27.96111,120
鹿城,22647,10898,城区道路,120.608733,28.024487,100
龙湾,22390,10578,工业园区,120.73665,27.96568,0
鹿城,26485,10615,商业中心,120.677888,28.010395,150
鹿城,22523,10466,低层居民区,120.62527,28.02031,310
鹿城,22745,10504,工业园区,120.64991,27.97699,220
鹿城,26487,10431,低层居民区,120.67522,27.99753,0
鹿城,22521,10432,企事业单位,120.698744,27.993854,340
鹿城,26487,10834,商业中心,120.67604,27.99935,30
鹿城,26805,10835,商业中心,120.656985,28.013647,100
鹿城,26488,10801,高校,120.69558,28.00437,240
龙湾,22524,10836,工业园区,120.80669,27.84679,100
瓯海,22399,10803,村庄,120.54988,27.99992,0
鹿城,22523,10838,工业园区,120.62619,28.01567,90
鹿城,26609,10772,高校,120.588957,28.036754,110
鹿城,26485,10804,高层居民区,120.69032,28.00798,310
鹿城,26738,10773,村庄,120.74869,28.00453,0
瓯海,26751,10774,村庄,120.638201,27.88424,100
永嘉,22650,11442,村庄,120.62822,28.50498,180
永嘉,26612,11443,工业园区,120.688071,28.070281,20
永嘉,22387,11500,企事业单位,120.68121,28.15333,
永嘉,22746,11400,星级酒店,120.652283,28.044045,
永嘉,26612,11401,国道省道,120.68349,28.050251,40
永嘉,22387,11355,低层居民区,120.686897,28.149673,110
永嘉,22651,11312,村庄,120.854507,28.276385,218
永嘉,22518,11314,村庄,120.80144,28.31652,130
永嘉,22659,11265,高速公路,120.559001,28.131801,90
永嘉,22389,11266,低层居民区,120.62757,28.03905,80
永嘉,22389,11267,低层居民区,120.62757,28.03905,330
永嘉,26612,11268,国道省道,120.662982,28.056995,120
永嘉,26612,11226,低层居民区,120.67115,28.05615,20
永嘉,26612,11270,国道省道,120.69334,28.04759,
永嘉,22515,11137,村庄,120.83068,28.46238,140
